Date,RegionName,DaysOnZillow_AllHomes,InventorySeasonallyAdjusted_AllHomes,InventoryRaw_AllHomes,MedianListingPricePerSqft_AllHomes,MedianListingPrice_AllHomes,MedianPctOfPriceReduction_AllHomes,MedianPriceCutDollar_AllHomes,MedianRentalPricePerSqft_AllHomes,MedianRentalPrice_AllHomes,ZHVIPerSqft_AllHomes,PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_AllHomes,PctOfListingsWithPriceReductions_AllHomes,PriceToRentRatio_AllHomes,Sale_Counts,Sale_Counts_Seas_Adj,Sale_Prices,ZHVI_AllHomes,ZRI_AllHomes,ZriPerSqft_AllHomes
6/30/17,"Mobile, Alabama",100.5,2014,2049,89.33956718,154900,3.887066133,5100,0.718390805,950,70,17.3,72.74,16.18212032,17.52232143,9.49,,,,109800,950,0.652
6/30/17,"Monroe, Alabama",,,,,,,,,,,0,100,,,8.35,,,,86600,,
6/30/17,"District of Columbia, District of Columbia",55.25,1200,1332,520.7188645,565950,3.077396595,20000,3.024193548,2650,491,14.83,74.79,16.07040301,17.00725115,16.72,819,720,528700,541100,2680,2.28
6/30/17,"Montgomery, Alabama",109.125,1375,1424,71.46596859,134900,3.617073608,5000,0.596946397,875,53,,,12.399663,14.15617128,,,,,,866,0.566
6/30/17,"Morgan, Alabama",,615,633,74.37464197,164900,2.778549597,5000,0.589296406,850,,12.93,82.51,15.95382671,17.84810127,12.31,,,,122300,819,
6/30/17,"Pickens, Alabama",,,,58.31043956,112900,,,,,,,,,,,,,,,,
6/30/17,"Pike, Alabama",,,,93.86740331,155900,,,,,,,,,,,,,,,990,0.622
6/30/17,"Randolph, Alabama",,258,272,118.75,219000,,,,,,,,9.775975245,11.96013289,,,,,,,
6/30/17,"Russell, Alabama",,329,352,64.27696078,130000,4.920701169,5000,0.507478632,1100,58,40.13,48.71,13.41055627,13.94230769,9.24,,,,95600,848,0.546
6/30/17,"Saint Clair, Alabama",,432,444,114.2142857,209900,2.858776444,5000,0.874307724,1272.5,99,31.54,55.51,12.85535499,14.04833837,10.33,,,,157700,1257,0.784
6/30/17,"Shelby, Alabama",72.25,1304,1382,122.8216999,266040,2.32183908,5100,0.84733441,1347.5,136,18.54,67.19,13.26293803,15.34460338,11.53,486,366,199300,193300,1381,0.982
6/30/17,"Talladega, Alabama",,398,407,72.00393458,149999,4.479175834,5250,,,,,,11.44075879,13.50806452,,,,,,889,0.532
6/30/17,"Tallapoosa, Alabama",,325,346,125.6955334,284400,4.769475358,10000,,,73,33.26,62.4,9.248609723,10.89108911,10.33,,,,115100,,
6/30/17,"Tuscaloosa, Alabama",,863,906,109.0802806,189900,3.372692674,6250,,,86,81.21,12.54,12.03084179,13.00514328,9.7,,,,138700,1190,0.74
6/30/17,"Walker, Alabama",,,,82.62867647,149900,,,,,,,,,,,,,,,,
6/30/17,"Washington, Alabama",,,,,105000,,,,,,,,,,,,,,,,
6/30/17,"Winston, Alabama",,,,154.8064516,309900,,,,,,,,,,,,,,,,
6/30/17,"Alachua, Florida",80,971,1042,124.0622916,215000,3.050161255,10000,0.904990111,1235,109,5.07,90.61,10.94054559,12.08356861,10.49,,,,165300,1293,0.848
6/30/17,"Baker, Florida",,,,108.1498107,192400,2.312979634,5250,,,94,,,13.53523317,15.45454545,,24,24,,,1230,0.774
6/30/17,"Bay, Florida",96.75,1823,1845,140.1270471,249000,2.48447205,5000,0.900374854,1295,124,20.78,67.59,12.88236941,13.36005344,11.79,,,,184100,1298,0.922
6/30/17,"Bradford, Florida",,112,113,85.46428205,149999,6.60130719,8600,,,70,26.23,68.08,8.831897519,10.1910828,8.24,,,,110400,1110,0.748
6/30/17,"Brevard, Florida",73.5,2765,2796,136.9127139,239900,2.723735409,7000,1.035502959,1450,119,2.23,96.57,15.61102565,15.01824467,11.27,1551,1261,179500,187700,1384,0.932
6/30/17,"Broward, Florida",99,12196,11772,191.1764706,298000,2.888086643,10000,1.411550206,1800,162,9.84,85.17,13.86679082,13.48869704,10.88,4225,3766,226200,232400,1781,1.318
6/30/17,"Calhoun, Florida",,,,79.14929108,142500,,,,,,,,,,,,,,,,
6/30/17,"Charlotte, Florida",131.75,1978,1852,141.0810811,244900,3.056768559,7000,1.180299525,1750,122,11.18,83.85,16.81603972,15.156131,9.79,,,,202700,1695,1.124
6/30/17,"Citrus, Florida",107.875,1197,1162,100.4862056,174900,3.443335639,5500,0.851851852,1100,87,4.8,92.38,11.94517177,11.49919398,10.15,,,,141600,1197,0.754
6/30/17,"Clay, Florida",78.75,856,876,109.2796093,228445,2.060301508,5000,0.789914034,1400,100,6.53,88.45,14.45340426,15.61059908,11.27,428,392,184800,177600,1286,0.752
6/30/17,"Collier, Florida",144.75,6265,6020,228.5447622,439000,2.942041777,10500,1.859002252,2995,203,31.89,56.69,15.22807432,13.52448285,8.84,,,,326900,,
6/30/17,"Columbia, Florida",,312,306,98.74946097,175000,4.458598726,9100,,,76,17.72,75.39,13.60138836,14.68144044,8.62,,,,126600,1172,0.772
6/30/17,"De Soto, Florida",,106,102,115.1241535,,5.114961316,6450,,,79,17.29,76.6,15.32974809,14.0625,7.69,,,,115400,1238,0.916
6/30/17,"Dixie, Florida",,160,153,123.388203,149900,,,,,,,,8.892918073,9.770114943,,,,,,,
6/30/17,"Duval, Florida",74.5,3816,3876,114.1338583,199900,2.242992807,5000,0.855631612,1200,100,3.79,93.49,15.00902211,15.29139434,10.89,1969,1706,149500,158800,1201,0.796
6/30/17,"Escambia, Florida",85.125,1501,1542,106.8872806,207000,3.173381611,6000,0.755953143,995,87,8.02,87.88,18.53123407,19.84559491,11.04,,,,140000,1037,0.68
6/30/17,"Flagler, Florida",121,1074,1076,133.0756014,264900,2.511852521,6000,0.871972842,1414,110,8.69,86.35,19.70845897,19.46666667,12.03,424,335,199800,205800,1390,0.798
6/30/17,"Franklin, Florida",,286,290,231.1320755,379000,3.675808245,10000,,,175,,,8.091071975,8.498583569,,,,,,,
6/30/17,"Gadsden, Florida",,,,88.17498291,149000,4.113396331,6000,,,66,5.92,92.09,11.31037326,11.82795699,7.23,,,,85300,973,0.726
6/30/17,"Gilchrist, Florida",,82,73,117.1034483,159850,6.352888961,10000,,,89,21.65,73.9,5.900699325,7.142857143,9.33,,,,136500,1221,0.806
6/30/17,"Glades, Florida",,60,60,102.6272578,139900,,,,,,,,,,,,,,,1228,0.98
6/30/17,"Gulf, Florida",,195,203,196.7157703,296950,3.861003861,10000,,,117,26.06,69.03,8.283957807,9.022556391,10.65,,,,167300,1305,0.978
6/30/17,"Hamilton, Florida",,54,57,74.16537134,,,,,,,,,,,,,,,,,
6/30/17,"Hardee, Florida",,45,46,89.11853864,,,,,,56,46.9,45.87,,,5.06,,,,71600,,
6/30/17,"Hendry, Florida",,,,112.0777892,174900,4.191438242,9050,,,83,24.87,71.27,11.33848662,11.17318436,7.51,,,,111800,1236,0.918
6/30/17,"Hernando, Florida",89.25,1019,953,94.90784949,172900,3.252247488,6000,0.769708256,1200,86,2.96,95.21,15.11931684,14.00722022,10.12,481,437,140100,145800,1184,0.732
6/30/17,"Highlands, Florida",91.25,792,787,97.98474946,147900,5.005005005,7000,0.864788426,,77,10.55,84.99,10.4363598,10.04975124,8.82,,,,116100,1021,0.78
6/30/17,"Hillsborough, Florida",76.25,5197,5280,127.2403173,250000,2.337228715,5097,0.9762309,1489,121,4.12,92.49,21.84807081,21.30059022,11.35,3189,2643,190100,196100,1418,0.942
6/30/17,"Holmes, Florida",,,,77.66198225,139000,,,,,,,,,,,,,,,,
6/30/17,"Indian River, Florida",106,1701,1604,146.2324393,279000,3.433476395,10000,,,121,8.46,87.17,11.43937194,10.83788707,10.32,,,,194700,1450,1.024
6/30/17,"Jackson, Florida",,,,80.97795347,139700,5.882352941,5400,,,57,33.23,58.8,8.818929605,10.56338028,7.83,,,,81200,831,0.586
6/30/17,"Jefferson, Florida",,66,65,81.17443869,,,,,,,,,,,,,,,,1131,0.716
6/30/17,"Lafayette, Florida",,,,,169000,,,,,,,,,,,,,,,,
6/30/17,"Lake, Florida",88,1840,1740,121.9764974,232450,2.649815692,5900,0.888888889,1400,112,4.6,91.78,17.6517205,16.50092081,11.59,767,714,197200,191200,1359,0.822
6/30/17,"Lee, Florida",122,8447,7785,157.2319182,274500,2.564760195,5900,1.106890952,1650,139,19.01,70.58,14.61257877,12.66078796,10.99,2204,1780,207600,219400,1676,1.11
6/30/17,"Leon, Florida",70.625,953,1033,125.1172044,198000,3.374233129,6000,0.860323887,975,114,12.78,78.33,12.92952265,13.73937677,11.27,,,,166000,1220,0.838
6/30/17,"Levy, Florida",,341,329,118.8737316,189000,5.630188679,9050,,,84,17.67,77.01,8.823278351,9.895833333,8.75,,,,128000,1204,0.828
6/30/17,"Madison, Florida",,83,84,84.91609458,155000,,,,,,,,,,,,,,,943,0.694
6/30/17,"Manatee, Florida",105.25,3008,2956,161.5824595,321975,2.591804747,9000,1.132231609,1800,145,12.08,80.96,19.96497945,18.71385612,11.82,945,780,235100,244000,1708,1.13
6/30/17,"Marion, Florida",99.75,2645,2516,102.0427112,179900,3.386318215,5200,0.748502994,1100,84,11.45,83.2,11.2756157,11.25249501,10.26,,,,136700,1109,0.714
6/30/17,"Martin, Florida",110.5,1480,1444,176.6480691,349000,2.942989214,10000,1.213705547,1750,154,7.92,87.23,14.53322087,13.85485391,11.28,,,,253400,1836,1.166
6/30/17,"Miami-Dade, Florida",123.75,19344,18668,284.7054085,388390,3.417586584,14000,2,2160,186,18.41,75.42,11.99107845,11.6920385,11.4,4535,3752,267000,270500,1976,1.502
6/30/17,"Monroe, Florida",152.125,1798,1750,502.7472527,689000,3.73933043,24495,2.972747093,3500,416,20.11,72.3,11.16967744,10.34830893,14.34,,,,549500,3223,2.524
6/30/17,"Nassau, Florida",,582,606,133.2586786,299000,2.742588931,9950.5,0.872483221,1523.5,134,12.96,81.21,11.61349133,12.66201396,13.22,192,195,256300,247000,1540,0.916
6/30/17,"Okaloosa, Florida",89.125,1346,1409,153.4512864,279000,2.638522427,8750,0.891699092,1300,122,9.27,84.51,17.12950305,18.39139344,12.51,,,,199100,1301,0.85
6/30/17,"Okeechobee, Florida",,,,111.0652353,176950,,,,,79,6.33,91.99,11.77850129,11.65644172,8.31,,,,124000,1258,0.882
6/30/17,"Orange, Florida",79.5,4652,4736,140.9845201,302665,2.471544715,9900,1.00063677,1550,126,3.71,93.76,20.51656887,19.97493734,11.98,2653,2311,227600,212600,1454,0.94
6/30/17,"Osceola, Florida",88.75,2413,2372,124.0219633,246990,2.487804878,5600,0.891877248,1450,112,6.28,90.42,16.41623026,15.2733584,11.43,768,678,183000,187300,1346,0.86
6/30/17,"Palm Beach, Florida",102.75,13338,13462,184.4883398,339000,3.032140691,10000,1.403130059,1925,159,12.15,81.76,15.4325493,14.57332187,11,4334,3518,240500,253400,1935,1.308
6/30/17,"Pasco, Florida",78.5,2555,2498,114.7123546,219900,2.53164557,5000,0.871297862,1300,103,4.5,93.01,19.73136257,19.38726663,10.45,1483,1221,153000,163200,1296,0.836
6/30/17,"Pinellas, Florida",77.25,5163,5028,171.4285714,275000,2.564102564,7000,1.2496875,1500,149,5.69,91.2,20.09276657,19.42941466,11.51,2820,2213,199000,198000,1421,1.132
6/30/17,"Polk, Florida",93.5,3274,3193,108.4313725,194950,2.709067604,5000,0.821700508,1295,100,5.12,91.71,15.96301174,15.34993559,10.64,1106,972,159100,158500,1222,0.808
6/30/17,"Putnam, Florida",,375,376,84.07663927,138750,4.575069164,7750,,,68,19.96,75.08,9.60005738,10.17241379,9.02,,,,108900,964,0.688
6/30/17,"Saint Johns, Florida",96.5,2684,2770,151.9198279,339000,2.001067271,6000,1.021942721,1850,140,9.15,83.18,18.05021224,18.62338858,12.72,686,507,276000,284000,1839,1.02
6/30/17,"Saint Lucie, Florida",94.5,2130,2090,127.4659864,230000,2.328146597,5000,1.02406554,1600,117,4.71,92.55,16.98584002,16.02364655,10.67,,,,190400,1437,0.91
6/30/17,"Santa Rosa, Florida",81.5,975,998,117.2422849,239000,2.272727273,5100,0.752314815,1350,103,9.69,83.12,14.81659632,16.08579088,11.94,,,,183100,1289,0.728
6/30/17,"Sarasota, Florida",109.375,4519,4404,181.9564116,349000,3.171806167,10000,1.318036021,1800,159,20.4,67.71,18.03049164,16.26564004,11.24,1269,1077,226700,244300,1929,1.274
6/30/17,"Seminole, Florida",68,1349,1408,140.4374851,280000,2.344665885,7400,0.987020011,1495,133,2.17,95.66,20.29979686,20.54998142,12.62,1113,840,215400,230000,1496,0.902
6/30/17,"Sumter, Florida",,513,498,156.7770842,239900,2.763562022,6750,,,159,29.39,53.11,16.00931656,15.87982833,10.08,,,,238200,,
6/30/17,"Suwannee, Florida",,211,202,104.1666667,190000,5.770502646,8500,,,,,,11.95453621,12.56281407,,,,,,1122,0.76
6/30/17,"Taylor, Florida",,,,85.06589136,133500,,,,,62,,,,,,,,,,,
6/30/17,"Union, Florida",,24,24,,,,,,,,,,,,,,,,,1157,0.73
6/30/17,"Volusia, Florida",87,3258,3078,137.4356739,234900,2.632964718,5900,1,1400,111,5.86,91.23,16.06156841,15.90909091,10.79,1349,1140,169400,172500,1314,0.882
6/30/17,"Wakulla, Florida",,,,124.4740232,212000,3.00233203,6150,,,97,31,59.36,11.31125862,12.60744986,10.77,,,,143400,1018,0.738
6/30/17,"Walton, Florida",128.875,,,277.0880095,514950,2.156862745,10000,1.200906579,1950,183,20.54,71.42,14.51640996,15.90383726,13.45,,,,317300,1956,1.146
6/30/17,"Washington, Florida",,132,132,85.13769604,151900,,,,,67,30.58,62.77,13.32978158,15,8.05,,,,94600,,
6/30/17,"Baldwin, Georgia",,240,248,90.29038113,175000,2.779533455,5875,,,67,26.03,67.67,8.885346901,9.090909091,9.59,,,,123200,1054,0.61
6/30/17,"Banks, Georgia",,85,90,113.8941822,224950,,,,,86,,,,,,,,,,1169,0.684
6/30/17,"Barrow, Georgia",,338,348,97.77348186,184900,2.514619534,5000,0.743247238,1195,92,5.82,90.3,11.87963617,12.63297872,10.69,,,,151500,1192,0.712
6/30/17,"Bartow, Georgia",69.25,493,514,103.9642631,199900,2.233389864,5000,0.668819188,1084,91,13.94,80.51,11.05703757,11.48272018,10.45,308,242,147000,137300,1075,0.7
6/30/17,"Ben Hill, Georgia",,65,62,58.23209049,91300,,,,,,,,,,,,,,,,
6/30/17,"Berrien, Georgia",,60,60,73.91613362,128950,,,,,,,,9.810207766,12.65822785,,,,,,997,0.594
6/30/17,"Bibb, Georgia",,649,670,70.43998291,124900,3.759917213,5090,0.611111111,785,56,51.82,37.18,12.07959249,12.98992161,8.13,,,,93300,922,0.604
6/30/17,"Bleckley, Georgia",,,,,139000,,,,,,,,,,,,,,,963,0.596
6/30/17,"Brantley, Georgia",,31,28,,,,,,,,,,,,,,,,,,
6/30/17,"Brooks, Georgia",,53,56,77.14285714,139900,,,,,,,,,,,,,,,942,0.596
6/30/17,"Bryan, Georgia",,385,416,113.4168925,273635,1.496919081,4800,0.868731696,1500,110,,,14.47613203,17.0212766,,,,,,1511,0.796
6/30/17,"Bulloch, Georgia",,409,426,89.9,159900,3.974153528,5300,0.675,945,75,32.4,50.65,7.893810327,9.406657019,10.08,,,,135900,1136,0.594
6/30/17,"Burke, Georgia",,,,90.76936956,142500,,,,,51,,,,,,24,25,,,,
6/30/17,"Butts, Georgia",,136,140,88.58390518,142500,2.586206897,5000,,,74,39.19,53.46,10.26854918,10.77586207,8.47,,,,93700,924,0.682
6/30/17,"Calhoun, Georgia",,,,,,,,,,35,0,100,,,4.85,,,,50900,,
6/30/17,"Camden, Georgia",,347,359,103.5404142,194600,2.722940776,5400,0.722273998,1100,92,25.38,62.36,11.34767476,11.25827815,11.21,,,,153700,1140,0.704
6/30/17,"Candler, Georgia",,40,40,75.33729168,148950,,,,,,,,,,,,,,,,
6/30/17,"Carroll, Georgia",71.75,357,374,93.76675603,154700,3.573981415,6000,0.721693841,900,77,16.74,77.61,11.09139671,11.68164313,10.21,252,214,137700,125400,985,0.638
6/30/17,"Catoosa, Georgia",,262,260,106.5843439,178900,2.476233466,5000,,,91,14.47,74.98,17.46709278,19.77272727,9.91,127,124,148800,129800,1060,0.762
6/30/17,"Charlton, Georgia",,25,26,,,,,,,,,,,,,,,,,,
6/30/17,"Chatham, Georgia",85.25,1823,1910,115.5384933,232000,2.632964718,5100,0.866879376,1350,99,19.72,69.71,13.64242532,14.40615836,10.56,,,,160000,1238,0.836
6/30/17,"Chattahoochee, Georgia",,,,,,,,,,,,,,,,,,,,929,0.662
6/30/17,"Chattooga, Georgia",,95,96,64.56834532,,,,,,58,50.72,43.53,,,6.96,,,,71300,,
6/30/17,"Cherokee, Georgia",61.25,1150,1251,121.5708238,297034,2.042187903,6000,0.794669299,1495,115,8.61,84.44,14.19555795,15.54898093,12.14,692,532,228700,217400,1462,0.798
6/30/17,"Clarke, Georgia",,403,462,97.91122715,174900,3.440860215,9900,0.764674057,1112.5,87,4.89,91.83,8.567394886,9.067688378,10.57,,,,145200,1135,0.716
6/30/17,"Clayton, Georgia",79.5,889,872,67.31215445,118900,4.303464622,5000,0.699300818,950,61,,,9.214102352,9.085475194,,534,393,100200,,899,0.648
6/30/17,"Cobb, Georgia",56.75,2769,3157,130.8289115,299900,2.325581395,10000,0.881742739,1485,115,8.01,85.21,15.89696856,17.10526316,12.11,1795,1377,221800,227400,1519,0.846
6/30/17,"Coffee, Georgia",,,,69.85601127,125900,,,,,57,,,,,,,,,,,
6/30/17,"Colquitt, Georgia",,,,76.36224098,129900,,,,,53,52.9,41.46,,,7.87,,,,88400,,
6/30/17,"Columbia, Georgia",,,,96.37638808,244900,2.380952381,5000,0.702952174,1275,91,14.89,71.35,14.85819347,16.74842327,11.68,373,275,184500,172800,1218,0.658
6/30/17,"Cook, Georgia",,62,64,58.69905956,100950,,,,,,,,,,,,,,,915,0.578
6/30/17,"Coweta, Georgia",61.75,773,844,106.0076694,269500,2.667852505,7650,0.765453495,1400,102,9.19,84.91,11.63008267,13.32941867,11.12,340,280,187300,180400,1373,0.748
6/30/17,"Crawford, Georgia",,26,28,71.90647482,150000,,,,,,,,,,,,,,,1087,0.624
6/30/17,"Crisp, Georgia",,,,88.0195599,185500,,,,,,,,,,,,,,,894,0.608
6/30/17,"Dade, Georgia",,86,90,103.3481913,179800,,,,,72,52.31,40.1,9.005205826,8.771929825,8.55,20,22,,102700,989,0.696
6/30/17,"Dawson, Georgia",,227,245,132.6143136,299900,2.615955473,12600,,,108,23.8,69.06,8.364254545,11.41439206,13.06,66,56,211700,229100,1405,0.71
6/30/17,"Decatur, Georgia",,,,86.17910002,143000,,,,,65,30.04,61.8,,,8.23,,,,94100,,
6/30/17,"Dekalb, Georgia",60.625,2353,2528,137.3790487,230000,3.076923077,10000,0.853924026,1250,91,10.56,84.27,12.46552544,13.09310289,10.62,1867,1582,213600,165900,1296,0.802
6/30/17,"Dodge, Georgia",,,,59.33476714,124000,,,,,,,,,,,,,,,939,0.616
6/30/17,"Dooly, Georgia",,,,62.2406639,,,,,,,,,,,,,,,,,
6/30/17,"Dougherty, Georgia",,343,343,58.0741257,89950,4.444444444,5000,0.588428665,700,48,36.37,53,12.04926219,13.72997712,7.73,,,,78400,832,0.528
6/30/17,"Douglas, Georgia",71.75,562,586,93.08043555,187920,2.796352584,7000,0.717547293,1250,84,12.45,80.9,12.68978363,13.37115073,9.97,283,243,137300,139500,1164,0.718
6/30/17,"Effingham, Georgia",,368,376,98.97884756,199999,1.776101418,4950,0.7837492,,97,23.4,59.45,8.672532704,9.131736527,10.7,,,,164900,1271,0.738
6/30/17,"Elbert, Georgia",,77,74,65.45244267,122250,,,,,49,30.65,65.32,,,6.59,,,,77500,956,0.624
6/30/17,"Emanuel, Georgia",,,,68.47352025,109900,,,,,,,,,,,,,,,870,0.572
6/30/17,"Evans, Georgia",,57,60,61.07954545,,,,,,,,,,,,,,,,,
6/30/17,"Fannin, Georgia",,499,512,153.5003444,319900,3.945111492,10000,,,,31.49,60.94,13.69735778,14.79750779,12.41,,,,195500,1275,0.966
6/30/17,"Fayette, Georgia",62.375,547,610,129.3863216,350000,2.56443138,10000,0.867924528,1602.5,116,9.41,84.84,14.37946332,15.60226354,12.06,225,208,264500,260500,1828,0.812
6/30/17,"Floyd, Georgia",,447,450,82.33612285,158900,4.044970756,6000,,650,74,41.7,48.04,12.69848354,13.55463347,9.86,,,,120400,1008,0.662
6/30/17,"Forsyth, Georgia",66.125,1472,1600,135.9414226,382180,2.161383285,9900,0.854534917,1780,124,11.55,77.62,15.31164406,17.87351054,13.65,639,530,299100,294400,1781,0.792
6/30/17,"Franklin, Georgia",,135,148,93.48387097,179900,5.406135964,11000,,,70,27.03,67.45,13.8040033,14.36464088,9.12,,,,118700,1083,0.668
6/30/17,"Fulton, Georgia",64.75,5030,5424,166.4511959,369900,2.666848024,10000,1.021381932,1650,139,14.43,78.29,14.1104483,15.29369628,11.82,,,,237900,1682,0.922
6/30/17,"Gilmer, Georgia",,424,426,124.4845452,239500,3.945111492,10000,,,106,29.76,61.54,12.30836854,15.07092199,12.08,,,,188900,1284,0.756
6/30/17,"Glynn, Georgia",120.25,929,966,179.0633609,359900,3.23996074,10000,,,100,29.34,64.4,11.84015945,12.76063386,11.11,,,,183900,,
